ground_truth_claim,generated_claim,meteor_score
Photo shows Louis Armstrong as a child,A Holocaust story told in the New York Times,0.0694
This leopard cub's mother was killed by a trophy hunter,This leopard cub's mother was killed by a trophy hunter,0.9996
Videos show current situation of Hyderabad amid heavy rain,Video shows a crocodile spotted in a residential area in Hyderabad during the ongoing heavy rains.,0.4551
Joe Biden lives in a large estate bought on a senator's salary,Joe Biden owns the house in this photo.,0.2028
"Photo shows August 26, 2021 explosion near Kabul airport",A photo of an explosion at an airport in Afghanistan is authentic,0.1471
White people own only 22 percent of South Africa's land,White people own only 22 percent of South Africa’s land,0.8973
This video shows Amitabh Bachchan thanking healthcare workers after he was hospitalised for COVID-19 in July 2020,Actor Amitabh Bachchan shared a video from the hospital after he was diagnosed positive for COVID-19,0.4869
Publix supermarket chain will stop carrying Ben & Jerry's,Publix supermarket chain is “out of sight” because of Trump protests,0.2859
American Medical Association Rescinds Previous Statement Against Prescription of Hydroxychloroquine to COVID-19 Patients.,"The AMA “reversed course”, now “giving the green light to doctors prescribing HCQ to their COVID patients.”",0.1715
"Brazilains participating in India's nationwide COVID-19 candle light vigil, which Indian Prime Minister Narendra Modi called for on April 3, 2020.",Video of muslim street food vendor adding his urine to drinking water,0.0
Cars melt due to hot weather in Saudi Arabia,Car melts due to hot weather in Oman,0.7854
Photo shows Sri Lankan police during a drug bust operation that turned violent in Atulugama in September 2020,Image showing Indian forces’ crackdown on Kashmiris,0.0294
Accurate description of photos showing the difference in attendance in various parliamentary sessions in Australia,Accurate description of photos showing the difference in attendance in various parliamentary sessions in Australia,0.9999
Photo shows anti-vaccine passport protest in France,Images show protests against vaccine mandates in France,0.4445
Nigerian state oil firm generates net profit for the first time in 2020,NNPC for the first time in 40 years declared profit,0.4637
Real photo of mammatus clouds over Mumbai,Real photo of mammatus clouds over Mumbai,0.9985
This video shows only Islamic prayer was played during Delhi's tableau at Republic Day parade,Visuals of a statue of Hindu deity Krishna in Delhi,0.0325
Trudeau government plans new home equity tax,Trudeau government plans new home tax,0.8535
"750,000 people attended anti-lockdown rally in London on April 24, 2021",New Zealand Prime Minister Jacinda Ardern has not taken a stand on abortion rights.,0.0407
Australian authorities question safety of AstraZeneca Covid-19 vaccination,Channel 9 in Australia is warning of Covid-19 vaccines being questioned by Australian authorities,0.5943
Video shows Russian soldiers landing in Ukraine in 2022,A video shows Russian soldiers landing in Ukraine,0.7556
Philippines lifts coronavirus restrictions on basketball games in November 2020 for entire country,Baseball is allowed provided that players of the same barangay shall participate in the same game.,0.0746
Video shows China has opened an 880-kilometre highway to Pakistan,This video shows the 880km highway from China to Pakistan,0.5111
Video of Hurricane Shaheen in Oman,Video taken from Burj Khalifa in Dubai shows Hurrican Shaheen in Oman,0.7333
The Australian publishes apology on Black Lives Matter story,The Australian publishes apology on Black Lives Matter story,0.9993
DC mayor is exempting from COVID-19 self-quarantine Congress members who attended John Lewis funeral,"""There was no 'special' exemption for Congress.""",0.073
Images show colossal ancient tree stumps,Petrified trees are evidence that ancient trees of silicon can be cut down,0.2799
These photos show Russian-made air defence system destroyed in attack on Armenia in 2020.,Picture of destroyed Russian-made air defence system in Armenia,0.4408
"Calgary mayor said Covid-19 is a ""hoax""",Calgary mayor admits he was on the payroll to hurt people,0.2038
US attorney Lin Wood and Trump in Oval Office in April 2021,US attorney Lin Wood and Trump in Oval Office in April 2021,0.9997
World Health Organization publishes text graphic listing top 10 killer foods,"World Health Organization has listed ""Top 10 killer foods"" found in the Philippines",0.6833
Philippine department of health releases guideline on appropriate COVID-19 face shields,Doctor Mark Duque said face shields are useless because they don't protect the eyes from COVID-19,0.2203
Liberal Party of Canada plans to tax capital gains on home sales,Trudeau government proposal would tax home sales,0.2222
"""World Bank website shows COVID-19 testing kits purchased by countries in 2017 and in 2018""",World Bank says COVID-19 test kits have been exported and imported worldwide since 2017,0.3801
"Fire at Rochester, New York's City Blue Imaging linked to ballot fraud cover-up","Fire engulfs Rochester, New York printing business",0.3385
Thousands of Russian Army soldiers parachute into Ukraine.,Video shows Russian soldiers landing in Ukraine in 2022,0.1667
Photos of 75-year-old American woman,Photo of a woman who is 75 years old,0.4733
"Image shows mismatch between Neil Armstrong's spacesuit and boot print left on the Moon, therefore Moon landing was a hoax","Image shows mismatch between Neil Armstrong’s spacesuit and boot print left on the Moon, therefore Moon landing was a hoax",0.9498
United States crime statistics in 2015,United States crime statistics in 2015,0.9977
Video of footballer Andre Gomes' ankle being pushed back into place,Andre Gomes to have surgery on his ankle.,0.2184
A video shows Ukrainians destroying Russian tanks with Molotov cocktails,Video shows Ukrainians destroying Russian tanks amid ongoing Ukraine-Russia conflict,0.5986
Dischem pharmacy mocks rival over racism row,Dis-Chem pharmacies are offering free shipping on orders over $50,0.1351
South Africans can refuse COVID-19 isolation,People who go to hospitals for COVID-19 symptoms never come back.,0.0758
Soweto father who tortured his daughter's rapist,"A Soweto father tied the rapist to a tree, cut off his daughter's penis and forced him to eat it",0.5984
Photos of regrowth after Australian bushfires,Photos of regrowth after Australian bushfires,0.9977
Sri Lanka's LPL ranked as biggest global sporting event of 2020,Sri Lanka wins football World Cup,0.2242
Photo shows recent anti-lockdown and anti-vaccination protests organised in France.,The claim: Image shows COVID-19 protest in France taken in 2021,0.1802
Fauci is alone in saying hydroxychloroquine unproven against COVID-19,Fauci is alone in saying hydroxychloroquine unproven against COVID-19,0.9993
Video shows Kenyan man killing his baby,This is a Kenyan man who killed his son with a belt,0.5
"The Uvalde, Texas, school shooter was a ""transsexual leftist illegal alien named Salvatore Ramos.""",Salvador Ramos Was Transgender,0.0571
Federal Reserve is owned by a small group of banking families,Federal Reserve is responsible for recent stock market meltdown,0.2726
Melania Trump's dress featured drawings by child abuse victims,Melania Trump's dress worn to Mount Rushmore was made by Alexander McQueen,0.5717
"Time change, full moon and Friday the 13th happening in same week of March 2021","Time change, full moon in same week of March 2021",0.7075
Paul Pogba quit France's national football team over president's remarks on Islam,"Sandro Marcos said his family can win in the May 2022 elections even without campaigning or attending “any interview, debate or public meeting.”",0.0
Biden faked an interaction with reporters,Joe Biden's hand went through the Grey Mic during the first presidential debate.,0.0725
Photos show that Muslims vandalise Baba Saheb Ambedkar statue in Delhis Seelampur.,Video of muslim street food vendor adding his urine to drinking water,0.0388
Photo of a jaguar rescued from the 2019 Amazon fire,Images show an animal that threw itself into the water to save itself from the Amazon fires,0.3505
This photo shows the aftermath of vaccine trials on Africans,Video shows ‘unexpected’ side effect of COVID-19 vaccine,0.15
Novel coronavirus exposure at a doctor's office in this Australian town,A notice shared on Facebook is about a sheep that was caught roaming in the Australian bushfires.,0.119
90 percent of plastic in the world's oceans comes from ten rivers,"95% of the ocean’s plastic pollution comes from just ten rivers, all of which are in Asia or Africa.",0.4881
Elderly Chinese couple hold hands in hospital after they were infected with coronavirus,Video shows 80-year-old couple with COVID-19 goodbye in hospital,0.2505
Russian leader Putin in South Africa for summit,Putin arrives in South Africa for the 10th BRICS Summit,0.686
This photo shows kangaroos rejoicing in the rain during the Australian bushfires,Images show rainfall in Australian bushfires,0.2769
Three carrots give you energy to walk three miles,Three carrots give you energy to walk three miles,0.9993
Screenshot shows Trudeau was named in Maxwell trial,“Jeff Epstein’s pedophile ring.”,0.0
Taliban leave Christians to die in bags,Photos show the Taliban taking over Kabul,0.0714
180 people so far charged with arson during Australian bushfires,180 people so far charged with arson in US cities,0.699
Indian activist Trupti Desai arrested for buying alcohol during COVID-19 lockdown,"Trupti Desai, social activist arrested for buying liquor during lockdown",0.6385
UN trucks stationed in front of a pharmaceutical company in Toronto,Military vehicles parked at former pharma warehouse in Toronto indicate imminent UN/military action.,0.1659
"Photo shows US basketball star LeBron James wearing a shirt that read: ""WE DIE, y'all silent""","Marching band spelled out ""We Sit Down, y'all mad.""",0.2311
Unvaccinated children pose no threat to anyone,Those who believe immunized people are still at risk do not think vaccines work.,0.0
Images of children caged by human traffickers.,Photos show children in cages.,0.1923
Indian and Pakistani soldiers dancing together to celebrate the arrival of Sikh religious pilgrims in Pakistan in October 2019,Indian and Pakistani soldiers dancing together to celebrate the arrival of Sikh religious pilgrims in Pakistan in October 2019,0.9999
Photo of runners Abel Mutai and Ivan Fernandes,Abel Mutai stops running after getting confused with the signs,0.2287
Switzerland gives every citizen a gun,Switzerland has the world’s lowest gun violence rate.,0.1538
Stanford study found masks are ineffective to block transmission of Covid-19,“Stanford University is a bunch of conspiracy theorists.”,0.0909
Photo shows child wounded in Russia invasion of Ukraine,Picture of a child injured in the attacks on Ukraine,0.2198
Breathing hot air from a hair dryer or in a sauna can prevent or cure COVID-19,Dr. Fauci said that the Suna virus cannot survive in many places in Africa,0.0629
NATO train ferrying armoured vehicles and military cargo to war in Ukraine,NATO says Ukraine is in safe hands of leaders like Vladimir Putin,0.125
"A rail freight tanker had ""COVID-19"" stamped on one side",Video shows Russian aircraft shot down by the Ukraine Military,0.0
Photograph shows people in Ukraine praying amid increased tensions with Russia.,Ukrainians pray in the snow ahead of Russian invasion,0.0855
"A factory full of baby formula, toilet paper and other supplies for export to China",A Facebook post claims Victorian Premier Hedyan Sredans made a false statement about freight services in Melbourne.,0.0309
These are advices on coronavirus prevention,These are advices on coronavirus prevention,0.9977
Ivory tusks and horns are dyed pink to prevent poaching,Animal agriculture is using pink dye to stop people eating meat,0.099
"Bill Gates' foundation tested a polio vaccine in India that left at least 490,000 children paralyzed","Bill Gates' polio vaccine caused 490,000 children paralysis in India",0.5247
"Illegally enter Australia and get a job, $70,000 and welfare",Illegally enter Australia and get a job in Australia.,0.5379
Images show deadly mosque blaze in Pakistan,Recent pictures of Muslims being burnt at a mosque in Pakistan,0.3453
"132,000 ballots from Georgia's Fulton County may be ineligible","The claim: 132,000 Ballots in Fulton County, Georgia Have Been Identified That Are Likely Ineligible",0.535
NGO providing free Plasma to covid patients,Covid-19 plasma donor lists being shared in India,0.0704
President Joe Biden's address to Congress had 11.6 million viewers,There’s no way Biden is at all beloved in our nation,0.0446
Biden Administration Is Implementing A Per-Mile 'Driving Tax',Proposed pilot program to increase gasoline prices,0.0
An image shows the 2020 wildfires in Oregon,“We have equipment on standby if resources are needed to assist fire crews.”,0.0
American Red Cross does not accept plasma donations from Covid-19 vaccine recipients,Red Cross says people vaccinated against COVID-19 cannot donate plasma,0.403
"About 100,000 votes cast in the US state of Nevada were fraudulent",Key battleground states show massive Electoral fraud,0.0435
"""At John Lewis funeral Obama told a room full of people that rooms full of people is too dangerous so we must mail in vote.""",Social distancing was not practiced at John Lewis's funeral,0.1431
Chinese man fights with Kenyan worker,African leader’s scarf unfurled to show disrespect,0.0
$999 fine and 3-year suspended license as of January 2020.,Using cell phone while driving in Canada punished with $999 and 3 year license suspension,0.2545
Australian TV host Waleed Aly applauds African gang for assaulting young girl,Waleed Aly praises African gang who assaulted young girl at train station,0.5604
Video of Kabul airport explosions,Video shows blast at Kabul airport.,0.4915
Muslims protesting against temple in Kolakata,Video shows hundreds of Muslims are shouting to stop puja at a Kali Mata temple in Kolkata.,0.3549
A livestream of Donald Trump attending a parade in March 2021.,"Barack Obama took 33 million documents, many of which are classified, to Chicago",0.0407
Australians who avoid their local clinics during the novel coronavirus epidemic will receive free doctor visits,Australians who avoid their local clinics during the novel coronavirus epidemic will receive free doctor visits,0.9999
UberBus coming to South Africa,Uber has a history of violence against women,0.0
"This Video Is Taken From Sarvodaya Mandir, Ghatkopar, Mumbai",Sarvodaya Mandir Robbery,0.1838
Foreign commanders spotted directing Hong Kong protests,This photo shows a command car cleaning up after the COVID-19 lockdown,0.0667
Nancy Pelosi flies to California every weekend on a Boeing 757,Pelosi uses a Boeing 757 to travel to California every week,0.6113
