ground_truth_claim,generated_claim,meteor_score
Photo shows Louis Armstrong as a child,"The Karnofsky Jewish family, who immigrated to the United States from Lithuania, employed a 7-year-old boy and adopted him into their home.",0.0568
This leopard cub's mother was killed by a trophy hunter,This little man was rescued after his mother was murdered,0.2345
Videos show current situation of Hyderabad amid heavy rain,Crocodile attack in Hyderabad,0.0588
Joe Biden lives in a large estate bought on a senator's salary,Joe Biden owns the house of a US senator,0.2505
"Photo shows August 26, 2021 explosion near Kabul airport",The claim: Video shows explosions in Kabul airport,0.3188
White people own only 22 percent of South Africa's land,White people own 122 million ha of land in South Africa,0.577
This video shows Amitabh Bachchan thanking healthcare workers after he was hospitalised for COVID-19 in July 2020,Video of Amitabh Bachchan being tested positive for Covid-19,0.2753
Publix supermarket chain will stop carrying Ben & Jerry's,Photo shows Ruth Swissa and Jeffrey Epstein,0.0
American Medical Association Rescinds Previous Statement Against Prescription of Hydroxychloroquine to COVID-19 Patients.,COVID-19 vaccines are a “cook theory”,0.0373
"Brazilains participating in India's nationwide COVID-19 candle light vigil, which Indian Prime Minister Narendra Modi called for on April 3, 2020.",Video of India’s PM Narendra Modi being broadcasted on TV in Britain,0.1556
Cars melt due to hot weather in Saudi Arabia,Video shows car melted in Oman,0.2937
Photo shows Sri Lankan police during a drug bust operation that turned violent in Atulugama in September 2020,Photo shows Indian soldiers being thrashed in Kerala,0.1503
Accurate description of photos showing the difference in attendance in various parliamentary sessions in Australia,The Australian government has passed a motion to declassify pensions for firefighters.,0.0338
Photo shows anti-vaccine passport protest in France,People in France protesting against COVID-19 vaccine mandates,0.3599
Nigerian state oil firm generates net profit for the first time in 2020,Nigerian National Petroleum Corporation declares profit for the first time in 40 years,0.6885
Real photo of mammatus clouds over Mumbai,Photo of mammatus clouds over Mumbai,0.8676
This video shows only Islamic prayer was played during Delhi's tableau at Republic Day parade,Photo of Hindu deity Arvind Kejriwal holding a Hindu statue,0.0
Trudeau government plans new home equity tax,If you sell your principal residence today it is a tax free transaction.,0.0649
"750,000 people attended anti-lockdown rally in London on April 24, 2021",New Zealand Prime Minister Jacinda Ardern has taken a stand to defend freedom and the right to choose.,0.0
Australian authorities question safety of AstraZeneca Covid-19 vaccination,Australian health authorities questioning COVID-19 vaccines,0.5718
Video shows Russian soldiers landing in Ukraine in 2022,Video shows Russian paratroopers landing in Ukraine,0.5808
Philippines lifts coronavirus restrictions on basketball games in November 2020 for entire country,“BASKETBALL IS ALLOWEDPROVIDED ONLY PLAYERS OF THE SAME BARANGAY SHALL PARTICIPATE IN THE SMALL.”,0.0746
Video shows China has opened an 880-kilometre highway to Pakistan,China has opened 880 km highway in Pakistan,0.4551
Video of Hurricane Shaheen in Oman,Photo shows Shaheen on the shores of Oman,0.2419
The Australian publishes apology on Black Lives Matter story,The Australian government issued an apology for Black Lives Matter.,0.6114
DC mayor is exempting from COVID-19 self-quarantine Congress members who attended John Lewis funeral,“The mayor’s order already exempted government activity and did not cover the U.S. Capitol.”,0.069
Images show colossal ancient tree stumps,"Giant trees of Silicon were cut in Bali, Indonesia",0.0781
These photos show Russian-made air defence system destroyed in attack on Armenia in 2020.,Photo shows destroying Russian-made air defence systems in Armenia,0.5714
"Calgary mayor said Covid-19 is a ""hoax""",This photo shows a man who admits he was on the payroll to hurt people,0.0521
US attorney Lin Wood and Trump in Oval Office in April 2021,“I was right. No Joey in the Oval Office. But I did run into our President of the United States.”,0.1921
World Health Organization publishes text graphic listing top 10 killer foods,World Health Organization rankings killer foods in the Philippines,0.4481
Philippine department of health releases guideline on appropriate COVID-19 face shields,The Department of Health has provided the following technical specifications for face shields:,0.4283
