ground_truth_claim,generated_claim,meteor_score
Photo shows Louis Armstrong as a child,"The Karnofsky Jewish family, who immigrated to the United States from Lithuania, employed a 7-year-old boy and adopted him into their home.",0.0568
This leopard cub's mother was killed by a trophy hunter,This little guy was rescued after his mother was murdered by a hunter,0.4563
Videos show current situation of Hyderabad amid heavy rain,Video of Magarmacch in Hyderabad,0.1744
Joe Biden lives in a large estate bought on a senator's salary,Video shows Joe Biden’s house,0.1512
"Photo shows August 26, 2021 explosion near Kabul airport","The claim: 40 dead, 120 injured.",0.0505
White people own only 22 percent of South Africa's land,The total area of South Africa is 122 million ha.,0.2677
This video shows Amitabh Bachchan thanking healthcare workers after he was hospitalised for COVID-19 in July 2020,Video shows Amitabh Bachchan testing positive for Covid-19,0.3658
Publix supermarket chain will stop carrying Ben & Jerry's,Photo shows Ruth Swissa at a local Publix,0.051
American Medical Association Rescinds Previous Statement Against Prescription of Hydroxychloroquine to COVID-19 Patients.,The claim: Hydroxychloroquine is a kook theory,0.0373
"Brazilains participating in India's nationwide COVID-19 candle light vigil, which Indian Prime Minister Narendra Modi called for on April 3, 2020.",Video shows Indian PM Modi's speech,0.0647
Cars melt due to hot weather in Saudi Arabia,Video shows car melted in Oman,0.2937
Photo shows Sri Lankan police during a drug bust operation that turned violent in Atulugama in September 2020,Video of shutterstok in India,0.0299
Accurate description of photos showing the difference in attendance in various parliamentary sessions in Australia,"The claim: ""Debating PTSD in Emergency Services Debating Mental Health Stigma""",0.0671
Photo shows anti-vaccine passport protest in France,The claim: Millions in France stand up for bodily autonomy against medical tyranny,0.2435
Nigerian state oil firm generates net profit for the first time in 2020,"This is the first time in 40 years, NNPC declares profit after tax of twohundred and eighty seven billion",0.3533
Real photo of mammatus clouds over Mumbai,"Video shows mammatus clouds in Mumbai, India",0.3599
This video shows only Islamic prayer was played during Delhi's tableau at Republic Day parade,The Delhi Govt of Arvind Kejriwal has a tableau on Republic Day with AllahHuAkbar,0.1998
Trudeau government plans new home equity tax,If you sell your principal residence today it is a tax free transaction.,0.0649
